player,year,wins,losses
Andreas Haider-Maurer,2008,1,2
Andreas Haider-Maurer,2009,1,2
Andreas Haider-Maurer,2010,8,6
Andreas Haider-Maurer,2011,11,17
Andreas Haider-Maurer,2012,4,4
Andreas Haider-Maurer,2013,9,16
Andreas Haider-Maurer,2014,10,9
Andreas Haider-Maurer,2015,19,22
Andreas Seppi,2004,5,7
Andreas Seppi,2005,11,10
Andreas Seppi,2006,16,20
Andreas Seppi,2007,33,27
Andreas Seppi,2008,25,20
Andreas Seppi,2009,12,20
Andreas Seppi,2010,21,25
Andreas Seppi,2011,19,17
Andreas Seppi,2012,31,21
Andreas Seppi,2013,27,22
Andreas Seppi,2014,18,24
Andreas Seppi,2015,20,17
Andreas Seppi,2016,20,20
Andreas Seppi,2017,17,20
Andreas Seppi,2018,24,23
Andreas Seppi,2019,18,22
Andreas Vinciguerra,1999,9,6
Andreas Vinciguerra,2000,25,18
Andreas Vinciguerra,2001,19,15
Andreas Vinciguerra,2002,3,9
Andreas Vinciguerra,2003,4,7
Andreas Vinciguerra,2010,4,2
Andrei Medvedev,1998,5,5
Andrei Medvedev,1999,19,20
Andrei Medvedev,2000,14,13
Andrei Medvedev,2001,4,8
Andrei Pavel,1998,4,4
Andrei Pavel,1999,24,22
Andrei Pavel,2000,26,20
Andrei Pavel,2001,21,19
Andrei Pavel,2002,29,20
Andrei Pavel,2003,3,7
Andrei Pavel,2004,22,16
Andrei Pavel,2005,13,17
Andrei Pavel,2006,10,14
Andrei Pavel,2007,24,19
Andrei Pavel,2009,1,6
Andrei Stoliarov,2000,4,8
Andrei Stoliarov,2001,14,17
Andrei Stoliarov,2002,7,15
Andrei Stoliarov,2003,2,5
Andrej Martin,2010,1,1
Andrej Martin,2011,4,5
Andrej Martin,2013,2,6
Andrej Martin,2014,8,7
Andrej Martin,2016,9,6
Andrej Martin,2018,8,10
Andrej Martin,2019,3,3
Andrew Ilie,1999,26,26
Andrew Ilie,2000,18,23
Andrew Ilie,2001,15,21
Andrey Golubev,2007,5,5
Andrey Golubev,2008,14,12
Andrey Golubev,2009,6,19
Andrey Golubev,2010,18,17
Andrey Golubev,2011,5,22
Andrey Golubev,2012,18,12
Andrey Golubev,2013,13,9
Andrey Golubev,2014,16,20
Andrey Golubev,2015,7,13
Andrey Golubev,2016,2,5
Andrey Kuznetsov,2008,1,1
Andrey Kuznetsov,2009,1,2
Andrey Kuznetsov,2010,4,3
Andrey Kuznetsov,2011,12,9
Andrey Kuznetsov,2012,9,6
Andrey Kuznetsov,2013,9,17
Andrey Kuznetsov,2014,21,12
Andrey Kuznetsov,2015,15,13
Andrey Kuznetsov,2016,24,16
Andrey Kuznetsov,2017,15,18
Andrey Rublev,2015,13,12
Andrey Rublev,2016,7,13
Andrey Rublev,2017,22,18
Andrey Rublev,2018,22,23
Andrey Rublev,2019,35,20
Andy Murray,2005,8,5
Andy Murray,2006,27,18
Andy Murray,2007,35,12
Andy Murray,2008,37,11
Andy Murray,2009,47,9
Andy Murray,2010,35,12
Andy Murray,2011,40,11
Andy Murray,2012,59,12
Andy Murray,2013,33,9
Andy Murray,2014,45,13
Andy Murray,2015,46,11
Andy Murray,2016,52,8
Andy Murray,2017,26,9
Andy Murray,2018,8,5
Andy Murray,2019,1,3
Andy Roddick,2000,3,4
Andy Roddick,2001,27,10
Andy Roddick,2002,28,14
Andy Roddick,2003,54,12
Andy Roddick,2004,39,9
Andy Roddick,2005,33,9
Andy Roddick,2006,28,9
Andy Roddick,2007,30,12
Andy Roddick,2008,40,12
Andy Roddick,2009,39,12
Andy Roddick,2010,34,10
Andy Roddick,2011,24,12
Andy Roddick,2012,18,10
Ante Pavic,2010,2,2
Ante Pavic,2011,2,2
Ante Pavic,2013,5,2
Ante Pavic,2014,15,12
Ante Pavic,2015,1,5
Ante Pavic,2016,3,4
Ante Pavic,2017,2,2
Antonio Veic,2009,4,6
Antonio Veic,2010,6,7
Antonio Veic,2011,23,11
Antonio Veic,2012,12,11
Antonio Veic,2013,9,12
Antonio Veic,2014,4,3
Antonio Veic,2015,1,5
Antony Dupuis,1999,9,9
Antony Dupuis,2000,3,11
Antony Dupuis,2001,9,10
Antony Dupuis,2002,11,18
Antony Dupuis,2003,13,17
Antony Dupuis,2004,9,13
Antony Dupuis,2005,3,10
Antony Dupuis,2007,9,4
Antony Dupuis,2008,2,3
Arnaud Clement,1998,4,3
Arnaud Clement,1999,21,22
Arnaud Clement,2000,26,22
Arnaud Clement,2001,23,16
Arnaud Clement,2002,19,17
Arnaud Clement,2003,25,16
Arnaud Clement,2004,12,17
Arnaud Clement,2005,14,15
Arnaud Clement,2006,16,15
Arnaud Clement,2007,17,22
Arnaud Clement,2008,13,18
Arnaud Clement,2009,15,21
Arnaud Clement,2010,13,21
Arnaud Clement,2011,7,11
Arnaud Clement,2012,4,7
Arnaud Di Pasquale,1998,1,1
Arnaud Di Pasquale,1999,24,26
Arnaud Di Pasquale,2000,17,22
Arnaud Di Pasquale,2001,4,13
Arnaud Di Pasquale,2002,7,5
Arnaud Di Pasquale,2003,1,3
Arnaud Di Pasquale,2004,2,7
Attila Savolt,2000,2,4
Attila Savolt,2001,3,4
Attila Savolt,2002,13,19
Attila Savolt,2003,5,9
Austin Krajicek,2012,3,2
Austin Krajicek,2014,9,8
Austin Krajicek,2015,19,16
Austin Krajicek,2016,9,14
Austin Krajicek,2017,4,3
Benjamin Becker,2006,7,5
Benjamin Becker,2007,22,29
Benjamin Becker,2008,15,18
Benjamin Becker,2009,18,14
Benjamin Becker,2010,31,22
Benjamin Becker,2011,3,7
Benjamin Becker,2012,16,16
Benjamin Becker,2013,14,15
Benjamin Becker,2014,22,22
Benjamin Becker,2015,10,20
Benjamin Becker,2016,19,16
Benjamin Becker,2017,3,10
Benoit Paire,2008,1,2
Benoit Paire,2009,3,3
Benoit Paire,2010,10,7
Benoit Paire,2011,11,10
Benoit Paire,2012,30,24
Benoit Paire,2013,27,22
Benoit Paire,2014,10,14
Benoit Paire,2015,20,17
Benoit Paire,2016,18,24
Benoit Paire,2017,21,24
Benoit Paire,2018,31,27
Benoit Paire,2019,31,23
Bernard Tomic,2008,1,1
Bernard Tomic,2009,3,4
Bernard Tomic,2010,6,6
Bernard Tomic,2011,19,17
Bernard Tomic,2012,19,21
Bernard Tomic,2013,17,16
Bernard Tomic,2014,15,14
Bernard Tomic,2015,32,22
Bernard Tomic,2016,24,18
Bernard Tomic,2017,10,19
Bernard Tomic,2018,17,12
Bernard Tomic,2019,7,18
Bjorn Fratangelo,2014,1,1
Bjorn Fratangelo,2015,5,5
Bjorn Fratangelo,2016,14,10
Bjorn Fratangelo,2017,13,10
Bjorn Fratangelo,2018,12,14
Bjorn Fratangelo,2019,8,9
Bjorn Phau,1999,3,2
Bjorn Phau,2001,2,3
Bjorn Phau,2002,1,5
Bjorn Phau,2003,1,4
Bjorn Phau,2004,4,3
Bjorn Phau,2005,9,11
Bjorn Phau,2006,15,19
Bjorn Phau,2007,7,8
Bjorn Phau,2008,8,5
Bjorn Phau,2009,12,15
Bjorn Phau,2010,14,15
Bjorn Phau,2011,7,10
Bjorn Phau,2012,14,16
Bjorn Phau,2013,6,5
Bjorn Phau,2014,8,3
Blaz Kavcic,2008,4,1
Blaz Kavcic,2009,5,3
Blaz Kavcic,2010,6,8
Blaz Kavcic,2011,23,14
Blaz Kavcic,2012,6,15
Blaz Kavcic,2013,21,17
Blaz Kavcic,2014,9,6
Blaz Kavcic,2015,9,11
Blaz Kavcic,2016,1,2
Blaz Kavcic,2017,2,4
Blaz Kavcic,2018,5,11
Bobby Reynolds,2005,5,7
Bobby Reynolds,2007,8,5
Bobby Reynolds,2008,17,15
Bobby Reynolds,2009,9,10
Bobby Reynolds,2010,1,3
Bobby Reynolds,2011,8,8
Bobby Reynolds,2012,16,11
Bobby Reynolds,2013,7,4
Bobby Reynolds,2014,3,3
Bohdan Ulihrach,1998,7,9
Bohdan Ulihrach,1999,12,22
Bohdan Ulihrach,2000,12,15
Bohdan Ulihrach,2001,23,17
Bohdan Ulihrach,2002,13,20
Bohdan Ulihrach,2003,3,4
Bohdan Ulihrach,2004,10,15
Bohdan Ulihrach,2005,1,7
Bohdan Ulihrach,2007,8,4
Bohdan Ulihrach,2008,1,1
Boris Pashanski,2004,1,2
Boris Pashanski,2006,9,16
Boris Pashanski,2007,16,12
Boris Pashanski,2008,6,12
Boris Pashanski,2009,3,5
Boris Pashanski,2010,6,5
Boris Pashanski,2011,1,1
Boris Pashanski,2013,4,6
Boris Pashanski,2014,1,1
Borna Coric,2013,1,2
Borna Coric,2014,9,7
Borna Coric,2015,25,25
Borna Coric,2016,19,19
Borna Coric,2017,17,22
Borna Coric,2018,35,19
Borna Coric,2019,26,17
Bradley Klahn,2010,2,4
Bradley Klahn,2011,3,3
Bradley Klahn,2012,7,3
Bradley Klahn,2013,5,7
Bradley Klahn,2014,3,9
Bradley Klahn,2015,1,1
Bradley Klahn,2017,3,4
Bradley Klahn,2018,15,14
Bradley Klahn,2019,6,15
Brendan Evans,2007,3,5
Brendan Evans,2008,10,10
Brendan Evans,2009,6,10
Brendan Evans,2010,8,6
Brian Baker,2005,2,2
Brian Baker,2012,12,11
Brian Baker,2013,3,4
Brian Baker,2016,5,11
Brian Baker,2017,1,2
Brydan Klein,2009,4,5
Brydan Klein,2010,1,7
Brydan Klein,2012,1,1
Brydan Klein,2014,1,1
Brydan Klein,2015,3,4
Brydan Klein,2016,1,5
Brydan Klein,2017,5,8
Byron Black,1998,5,6
Byron Black,1999,18,20
Byron Black,2000,19,19
Byron Black,2001,4,9
Byron Black,2002,1,2
Cameron Norrie,2013,1,2
Cameron Norrie,2014,1,1
Cameron Norrie,2016,1,1
Cameron Norrie,2017,6,4
Cameron Norrie,2018,26,22
Cameron Norrie,2019,22,21
Carlos Berlocq,2006,1,11
Carlos Berlocq,2007,12,14
Carlos Berlocq,2008,3,12
Carlos Berlocq,2010,8,6
Carlos Berlocq,2011,11,22
Carlos Berlocq,2012,20,24
Carlos Berlocq,2013,22,22
Carlos Berlocq,2014,16,17
Carlos Berlocq,2015,9,12
Carlos Berlocq,2016,6,5
Carlos Berlocq,2017,15,15
Carlos Berlocq,2018,8,7
Carlos Berlocq,2019,5,10
Carlos Moya,1998,3,3
Carlos Moya,1999,37,22
Carlos Moya,2000,28,17
Carlos Moya,2001,25,15
Carlos Moya,2002,31,14
Carlos Moya,2003,46,16
Carlos Moya,2004,36,11
Carlos Moya,2005,24,14
Carlos Moya,2006,22,18
Carlos Moya,2007,40,20
Carlos Moya,2008,18,15
Carlos Moya,2009,2,4
Carlos Moya,2010,1,5
Casper Ruud,2017,11,12
Casper Ruud,2018,17,11
Casper Ruud,2019,30,18
Cecil Mamiit,1999,14,16
Cecil Mamiit,2000,4,11
Cecil Mamiit,2001,7,10
Cecil Mamiit,2002,8,12
Cecil Mamiit,2003,2,13
Cecil Mamiit,2004,1,3
Cecil Mamiit,2007,2,3
Cecil Mamiit,2008,3,3
Cecil Mamiit,2009,1,2
Cecil Mamiit,2010,1,2
Cedric Pioline,1998,10,8
Cedric Pioline,1999,34,28
Cedric Pioline,2000,27,13
Cedric Pioline,2001,8,14
Cedric Pioline,2002,8,13
Cedrik-Marcel Stebe,2009,1,2
Cedrik-Marcel Stebe,2010,3,2
Cedrik-Marcel Stebe,2011,14,8
Cedrik-Marcel Stebe,2012,11,17
Cedrik-Marcel Stebe,2013,7,7
Cedrik-Marcel Stebe,2016,3,5
Cedrik-Marcel Stebe,2017,12,7
Cedrik-Marcel Stebe,2019,5,8
Chris Guccione,2003,2,2
Chris Guccione,2004,2,2
Chris Guccione,2005,1,2
Chris Guccione,2006,1,3
Chris Guccione,2007,16,17
Chris Guccione,2008,14,16
Chris Guccione,2009,3,10
Chris Guccione,2010,2,5
Chris Guccione,2011,10,8
Chris Guccione,2012,8,5
Chris Guccione,2013,2,2
Chris Guccione,2015,1,2
Chris Woodruff,1999,20,17
Chris Woodruff,2000,14,19
Chris Woodruff,2001,7,12
Christian Ruud,1999,20,15
Christian Ruud,2000,7,15
Christian Ruud,2001,3,3
Christophe Rochus,1999,1,2
Christophe Rochus,2000,12,17
Christophe Rochus,2001,10,17
Christophe Rochus,2002,10,17
Christophe Rochus,2003,9,13
Christophe Rochus,2004,5,11
Christophe Rochus,2005,16,18
Christophe Rochus,2006,11,19
Christophe Rochus,2007,13,10
Christophe Rochus,2008,12,8
Christophe Rochus,2009,11,19
Christophe Rochus,2010,7,13
Cristian Garin,2013,2,2
Cristian Garin,2014,5,3
Cristian Garin,2015,2,3
Cristian Garin,2016,3,2
Cristian Garin,2017,4,4
Cristian Garin,2018,4,4
Cristian Garin,2019,29,19
Cyril Saulnier,2000,2,12
Cyril Saulnier,2001,3,8
Cyril Saulnier,2002,3,8
Cyril Saulnier,2003,12,12
Cyril Saulnier,2004,17,16
Cyril Saulnier,2005,12,17
Cyril Saulnier,2006,2,7
Cyril Saulnier,2007,4,1
Damir Dzumhur,2012,2,3
Damir Dzumhur,2013,4,5
Damir Dzumhur,2014,11,9
Damir Dzumhur,2015,14,13
Damir Dzumhur,2016,21,22
Damir Dzumhur,2017,23,22
Damir Dzumhur,2018,24,27
Damir Dzumhur,2019,18,21
Danai Udomchoke,2005,2,4
Danai Udomchoke,2006,4,7
Danai Udomchoke,2007,9,18
Danai Udomchoke,2008,4,3
Danai Udomchoke,2009,7,8
Danai Udomchoke,2011,3,4
Danai Udomchoke,2012,6,7
Danai Udomchoke,2013,2,3
Danai Udomchoke,2015,1,3
Daniel Brands,2007,2,3
Daniel Brands,2008,7,6
Daniel Brands,2009,13,8
Daniel Brands,2010,9,15
Daniel Brands,2011,12,13
Daniel Brands,2012,20,14
Daniel Brands,2013,30,20
Daniel Brands,2014,6,11
Daniel Brands,2015,8,7
Daniel Brands,2016,13,12
Daniel Brands,2017,11,8
Daniel Brands,2018,3,4
Daniel Brands,2019,4,4
Daniel Evans,2007,1,1
Daniel Evans,2009,1,4
Daniel Evans,2010,7,5
Daniel Evans,2012,3,2
Daniel Evans,2013,8,3
Daniel Evans,2014,10,8
Daniel Evans,2015,2,1
Daniel Evans,2016,11,5
Daniel Evans,2017,11,9
Daniel Evans,2018,1,1
Daniel Evans,2019,22,17
Daniel Gimeno-Traver,2006,2,3
Daniel Gimeno-Traver,2007,3,2
Daniel Gimeno-Traver,2008,8,5
Daniel Gimeno-Traver,2009,12,16
Daniel Gimeno-Traver,2010,30,28
Daniel Gimeno-Traver,2011,13,23
Daniel Gimeno-Traver,2012,9,17
Daniel Gimeno-Traver,2013,15,25
Daniel Gimeno-Traver,2014,18,20
Daniel Gimeno-Traver,2015,20,19
Daniel Gimeno-Traver,2016,12,10
Daniel Gimeno-Traver,2018,4,6
Daniel Koellerer,2005,1,2
Daniel Koellerer,2007,3,3
Daniel Koellerer,2008,4,4
Daniel Koellerer,2009,15,15
Daniel Koellerer,2010,3,8
Daniel Munoz de la Nava,2007,3,4
Daniel Munoz de la Nava,2008,5,4
Daniel Munoz de la Nava,2009,12,7
Daniel Munoz de la Nava,2010,8,4
Daniel Munoz de la Nava,2011,11,11
Daniel Munoz de la Nava,2012,11,9
Daniel Munoz de la Nava,2013,14,8
Daniel Munoz de la Nava,2014,3,4
Daniel Munoz de la Nava,2015,2,6
Daniel Munoz de la Nava,2016,3,11
Daniel Nestor,1998,3,3
Daniel Nestor,1999,13,13
Daniel Nestor,2000,4,8
Daniel Nestor,2001,2,4
Daniel Nestor,2003,1,1
Daniel Vacek,1998,3,8
Daniel Vacek,1999,23,26
Daniel Vacek,2000,3,11
