player,tourney,date,elo,surface,year,month,day
Andy Murray,Barcelona,2005.04.18,986.7087594717416,Clay,2005,4.0,18.0
Andy Murray,London - Queen's Club,2005.06.06,1039.6888129651518,Grass,2005,6.0,6.0
Andy Murray,Wimbledon,2005.06.20,1082.7888640288622,Grass,2005,6.0,20.0
Andy Murray,Newport,2005.07.04,1079.6265686158704,Grass,2005,7.0,4.0
Andy Murray,Indianapolis,2005.07.18,1080.382051712062,Hard,2005,7.0,18.0
Andy Murray,ATP Masters 1000 Cincinnati,2005.08.15,1107.3285829996041,Hard,2005,8.0,15.0
Andy Murray,US Open,2005.08.29,1110.4074624136194,Hard,2005,8.0,29.0
Andy Murray,Bangkok,2005.09.26,1206.90078921464,Hard,2005,9.0,26.0
Andy Murray,Basel,2005.10.24,1237.1645879848982,Carpet,2005,10.0,24.0
Andy Murray,Adelaide,2006.01.02,1232.4500752402823,Hard,2006,1.0,2.0
Andy Murray,Auckland,2006.01.09,1226.629546398129,Hard,2006,1.0,9.0
Andy Murray,Australian Open,2006.01.16,1201.6678096748876,Hard,2006,1.0,16.0
Andy Murray,Zagreb,2006.01.30,1195.5184151904887,Carpet,2006,1.0,30.0
Andy Murray,San Jose,2006.02.13,1305.6400573237174,Hard,2006,2.0,13.0
Andy Murray,Las Vegas,2006.02.27,1285.288095096458,Hard,2006,2.0,27.0
Andy Murray,ATP Masters 1000 Indian Wells,2006.03.06,1275.1885574027842,Hard,2006,3.0,6.0
Andy Murray,ATP Masters 1000 Miami,2006.03.20,1249.5660700995525,Hard,2006,3.0,20.0
Andy Murray,ATP Masters 1000 Monte Carlo,2006.04.17,1216.3929893797658,Clay,2006,4.0,17.0
Andy Murray,Barcelona,2006.04.24,1210.4457322114506,Clay,2006,4.0,24.0
Andy Murray,ATP Masters 1000 Rome,2006.05.08,1186.1668465548034,Clay,2006,5.0,8.0
Andy Murray,ATP Masters 1000 Hamburg,2006.05.15,1204.3292521864587,Clay,2006,5.0,15.0
Andy Murray,Roland Garros,2006.05.29,1187.1495371256126,Clay,2006,5.0,29.0
Andy Murray,London - Queen's Club,2006.06.12,1155.2577958224442,Grass,2006,6.0,12.0
Andy Murray,Nottingham,2006.06.19,1178.1300358394913,Grass,2006,6.0,19.0
Andy Murray,Wimbledon,2006.06.26,1234.4875241926522,Grass,2006,6.0,26.0
Andy Murray,Newport,2006.07.10,1234.2615372353034,Grass,2006,7.0,10.0
Andy Murray,Washington,2006.07.31,1284.1811386234185,Hard,2006,7.0,31.0
Andy Murray,ATP Masters 1000 Canada,2006.08.07,1351.6566503738825,Hard,2006,8.0,7.0
Andy Murray,ATP Masters 1000 Cincinnati,2006.08.14,1395.9462319823224,Hard,2006,8.0,14.0
Andy Murray,US Open,2006.08.28,1407.9521979557278,Hard,2006,8.0,28.0
Andy Murray,Bangkok,2006.09.25,1382.4182592249906,Hard,2006,9.0,25.0
Andy Murray,Tokyo,2006.10.02,1353.0637743025086,Hard,2006,10.0,2.0
Andy Murray,ATP Masters 1000 Madrid,2006.10.16,1365.2361372611654,Hard,2006,10.0,16.0
Andy Murray,ATP Masters 1000 Paris,2006.10.30,1350.9784569788405,Carpet,2006,10.0,30.0
Andy Murray,Doha,2007.01.01,1392.5512509368357,Hard,2007,1.0,1.0
Andy Murray,Australian Open,2007.01.15,1407.938665281002,Hard,2007,1.0,15.0
Andy Murray,San Jose,2007.02.12,1459.2395448266393,Hard,2007,2.0,12.0
Andy Murray,ATP Masters 1000 Indian Wells,2007.03.05,1485.2561632626764,Hard,2007,3.0,5.0
Andy Murray,ATP Masters 1000 Miami,2007.03.19,1504.6637316898002,Hard,2007,3.0,19.0
Andy Murray,ATP Masters 1000 Rome,2007.05.07,1469.9447717277078,Clay,2007,5.0,7.0
Andy Murray,ATP Masters 1000 Hamburg,2007.05.14,1440.5956668999484,Clay,2007,5.0,14.0
Andy Murray,ATP Masters 1000 Canada,2007.08.05,1413.5207961420938,Hard,2007,8.0,5.0
Andy Murray,ATP Masters 1000 Cincinnati,2007.08.13,1393.6330127343933,Hard,2007,8.0,13.0
Andy Murray,US Open,2007.08.27,1380.1675712462552,Hard,2007,8.0,27.0
Andy Murray,Metz,2007.10.01,1401.7944056236365,Hard,2007,10.0,1.0
Andy Murray,Moscow,2007.10.08,1379.1788995769314,Hard,2007,10.0,8.0
Andy Murray,ATP Masters 1000 Madrid,2007.10.15,1407.7720593758775,Hard,2007,10.0,15.0
Andy Murray,St. Petersburg,2007.10.22,1462.7763539925425,Carpet,2007,10.0,22.0
Andy Murray,ATP Masters 1000 Paris,2007.10.28,1461.64272743695,Hard,2007,10.0,28.0
Andy Murray,Doha,2007.12.31,1518.4523887285166,Hard,2007,12.0,31.0
Andy Murray,Australian Open,2008.01.14,1486.4783543091958,Hard,2008,1.0,14.0
Andy Murray,Marseille,2008.02.11,1540.1004171955494,Hard,2008,2.0,11.0
Andy Murray,Rotterdam,2008.02.18,1504.4959863677357,Hard,2008,2.0,18.0
Andy Murray,Dubai,2008.03.03,1519.8570433919376,Hard,2008,3.0,3.0
Andy Murray,ATP Masters 1000 Indian Wells,2008.03.13,1507.893069912097,Hard,2008,3.0,13.0
Andy Murray,ATP Masters 1000 Miami,2008.03.27,1484.1218993464156,Hard,2008,3.0,27.0
Andy Murray,ATP Masters 1000 Monte Carlo,2008.04.20,1486.4498912475617,Clay,2008,4.0,20.0
Andy Murray,Barcelona,2008.04.28,1464.6450192612674,Clay,2008,4.0,28.0
